Date,Who,What,Year,Link,Best,Score (1-10),,
,,,,,,,,
01/06/2017,Lorde,Melodrama,2017,https://music.yandex.ru/album/4456606,,9.5,,
02/06/2017,Everything Everything,Get To Heaven (Deluxe),2015,https://music.yandex.ru/album/2800870,,7.5,,
03/06/2017,Dan Auerbach,Waiting on a Song,2017,https://music.yandex.ru/album/4400684,,10,perfect,
04/06/2017,Kraftwerk,The Man Machine,1978,https://music.yandex.ru/album/33865,,9,,
05/06/2017,Fleet Foxes,Crack-Up,2017,https://music.yandex.ru/album/4439023,,6.5,,
06/06/2017,Portugal. The Man,Woodstock,2017,https://music.yandex.ru/album/4451826,,"8,3",,
07/06/2017,Jack & Jack,GONE,2017,https://music.yandex.ru/album/4422310,,5,last thing как-то спасает ситуацию,
08/06/2017,Drake,if you're reading this its too late,2015,https://music.yandex.ru/album/2514723,,7,,
09/06/2017,Drake,Views,2016,https://music.yandex.ru/album/3481735,,8,,
10/06/2017,Drake,More Life,2017,https://music.yandex.ru/album/4219618,,8.5,,
11/06/2017,Royal Blood,How Did We Get So Dark?,2017,https://music.yandex.ru/album/4457834,,9.8,"это огонь какой-то. Все, что я так любила в них, они сохранили",
12/06/2017,Missy Elliott,Under Construction,2002,https://music.yandex.ru/album/21353,,8,,
13/06/2017,Take That,Nobody Else,1995,https://music.yandex.ru/album/72777,,7,,
14/06/2017,Imagine Dragons,Evolve,2017,https://music.yandex.ru/album/4482682,,7,,
15/06/2017,Take That,Beautiful World,2006,https://music.yandex.ru/album/2497675,,7.8,,
16/06/2017,The Kinks,The Singles Collection,1997,https://music.yandex.ru/album/4021477,,"8,6",,
17/06/2017,Sparks,A Woofer In Tweeter's Clothing,1972,https://music.yandex.ru/album/14692,,"8,5",,
18/06/2017,Robbie Williams,Sing When You're Winning,2000,https://music.yandex.ru/album/31094,,7.6,,
19/06/2017,Years & Years,Communion,2016,https://music.yandex.ru/album/3312521,,8.1,,
20/06/2017,Depeche Mode,Spirit,2017,https://music.yandex.ru/album/4203780,,8,,
21/06/2017,Toro Y Moi,Boo Boo,2017,https://toroymoi.bandcamp.com/album/boo-boo,,7.8,,Mona Lisa
22/06/2017,Imagine Dragons,Night Visions,2012,https://music.yandex.ru/album/1597165,,"9,5",,
23/06/2017,Jean Michel Jarre,Oxygene Trilogy,2016,https://music.yandex.ru/album/3936964,диск1-2,8,bias оценка 8 потому что детство,
24/06/2017,Bad Boys Blue,Heart Beat,1986,https://music.yandex.ru/album/213955,,8,,
25/06/2017,Bad Boys Blue,"Hot Girls, Bad Boys",1985,https://music.yandex.ru/album/213927,,8,,
26/06/2017,Alexandra Savior,Belladonna of Sadness,2017,https://music.yandex.ru/album/4249746,,"8,3",,
27/06/2017,Pink Floyd - Dark Side Of The Moon (Full Album),Pink Floyd,1973,https://www.youtube.com/watch?v=5GOi2FnI1y4,,10,,
28/06/2017,wish you were here,Pink Floyd,1975,youtube',,8,,
29/06/2017,Foster The People,Sacred Hearts Club,2017,https://music.yandex.ru/album/4546588,,"8,5",,
30/06/2017,Lana Del Rey,Lust For Life,2017,https://music.yandex.ru/album/4548805,,9,,
