Date,Who,What,Year,Link,Best,Score (1-10),
,,,,,,,
01/05/2017,Oddisee,The Iceberg,2017,https://music.yandex.ru/album/3997449,,"7,5",
02/05/2017,Oddisee,The Odd Tape,2017,https://music.yandex.ru/album/3346807,"silver lining, still sleeping",8.5,
03/05/2017,Mark Ronson,Version,2007,https://music.yandex.ru/album/73651,,"8,7",
04/05/2017,Harry Styles,Harry Styles,2017,https://music.yandex.ru/album/4373162,sign...,8.5,
05/05/2017,Pond,Man It Feels Like Space Again,,https://music.yandex.ru/album/2466855,,"8,7",wg
06/05/2017,Thomas Azier,Rouge,2017,https://music.yandex.ru/album/4362758,,9,
07/05/2017,LP,Lost on You,2017,https://music.yandex.ru/album/4353285,,9,
08/05/2017,Mando Diao,Good Times,2017,https://music.yandex.ru/album/4335166,,8,
09/05/2017,Aretha Franklin,I Never Loved A Man The Way I Love You,1967,https://music.yandex.ru/album/1967000,,10,
10/05/2017,Dusty Springfield,Dusty In Memphis,1969,https://music.yandex.ru/album/86226,,8,
11/05/2017,Stevie Wonder,Talking Book,1972,https://music.yandex.ru/album/2507542,,7,
12/05/2017,Elvis Presley,Loving You,,https://music.yandex.ru/album/796297,,9,
13/05/2017,Little Richard,30 Essentials of Little Richard,2014,https://music.yandex.ru/album/4206773,,8.5,
14/05/2017,Lenny Williams,Pray For The Lion,1974,https://music.yandex.ru/album/174194,,8,
15/05/2017,One Direction,Midnight Memories (Deluxe),2013,https://music.yandex.ru/album/1780366,,"8,3",
16/05/2017,Snoop Dogg,Neva Left,2017,https://music.yandex.ru/album/4369973,,"8,7",
17/05/2017,Frank Ocean,channel ORANGE,2012,https://music.yandex.ru/album/496406,,9,
18/05/2017,Perfume Genius,No Shape,2017,https://music.yandex.ru/album/4328551,,8.5,
19/05/2017,Kendrick Lamar,DAMN.,2017,https://music.yandex.ru/album/4294417,,8.5,
20/05/2017,Julie Byrne,Not Even Happiness,2017,https://music.yandex.ru/album/3943107,,7,очень грустноинди
21/05/2017,Blossoms,Blossoms,2016,https://music.yandex.ru/album/3919107,,10,
22/05/2017,N Sync,No Strings Attached,2000,https://music.yandex.ru/album/69716,,"7,5",
23/05/2017,Lostboycrow,Traveler: The First Legend,2017,https://music.yandex.ru/album/4390328,,5.5,
24/05/2017,Major Lazer,Know No Better,2017,https://music.yandex.ru/album/4433630,,8,отличные летние вайбы
25/05/2017,alt-J,RELAXER,2017,https://music.yandex.ru/album/4416697,,9,"меланхолия и рок, все как я люблю"
26/05/2017,Elbow,Little Fictions,2017,https://music.yandex.ru/album/3959582,,8,
27/05/2017,Imagine Dragons,Smoke + Mirrors,2015,https://music.yandex.ru/album/3015939,,8,"сначала было скучно, а потом ребята вошли во вкус и стало супер"
28/05/2017,Bleachers,Gone Now,2017,vk,,7,
29/05/2017,The Miseducation of Lauryn Hill,Lauryn Hill,1998,https://music.yandex.ru/album/4650768,,0,не дослушала
30/05/2017,"Prince, Prince And The Revolution",Purple Rain,1984,https://music.yandex.ru/album/47052,,9,
31/05/2017,London Grammar,Truth Is a Beautiful Thing,2017,https://music.yandex.ru/album/4430762,,"9,5","иногда очень грустно, но красиво"
