index,singer
6,Muse
5,Rhodes
5,Panic! At The Disco
4,Matt Wills
4,Maroon 5
4,Imagine Dragons
3,Mayer Hawthorne
3,The Strokes
3,Coldplay
3,alt-J
3,White Lies
3,Alex Clare
3,Ed Sheeran
3,The War On Drugs
3,Depeche Mode
3,Drake
2,Oddisee
2,Take That
2,One Direction
2,Daft Punk
2,Childish Gambino
2,The Black Keys
2,St. Vincent
2,Lady Gaga
2,One Republic
2,Badbadnotgood
2,Arctic Monkeys
2,dePresno
2,Years & Years
2,Rivulets
2,Lorde
2,The Beatles
2,Bad Boys Blue
1,ROSTAM
1,Rag'n'Bone Man
1,Rationale
1,Princess Nokia
1,Rex
1,Rex Orange County
1,Post Malone
1,Robbie Williams
1,"Prince, Prince And The Revolution"
1,Police
1,Pond
1,Royal Blood
1,Portugal. The Man
1, Alicia Keys
1,Pink Floyd - Dark Side Of The Moon (Full Album)
1,Mr Jukes
1,Matt Corby
1,Meghan Trainor
1,Michael Jackson
1,Michael McDonald
1,Miley Cyrus
1,Missy Elliott
1,Moby
1,Modern Talking
1,Morgan Saint
1,Mura Masa
1,Perfume Genius
1,MØ
1,N Sync
1,New Politics
1,Nothing But Thieves
1,Of Monsters and Men
1,SZA
1,P!nk
1,PARTYNEXTDOOR
1,Parov Stelar
1,Róisín Murphy
1,Sparks
1,Sam Smith
1,Sampha
1,Thomas Azier
1,Thundercat
1,Tim Barry
1,Timbaland
1,Todd Terje
1,Tom Grennan
1,Tony Allen
1,Toro Y Moi
1,Tricky
1,Two Door Cinema Club
1,"Tyler, The Creator"
1,Unknown Mortal Orchestra
1,Unseen Keys
1,Valerie June
1,Vampire Weekend
1,Weeknd
1,Whitney Houston
1,Xxxtentacion
1,Zara Larsson
1,Zayn
1,wish you were here
1,The xx
1,The Rolling Stones
1,The National
1,Stella
1,San Cisco
1,Say Lou Lou
1,"Scarlett Johansson, Pete Yorn"
1,Seafret
1,Shawn Mendes
1,Shekhinah
1,Snoop Dogg
1,Solange
1,Speedometer
1,Stevie Wonder
1,The Miseducation of Lauryn Hill
1,Syd
1,TOKiMONSTA
1,Tame Impala
1,The 1975
1,The Avalanches
1,The Belligerents
1,The Black Eyed Peas
1,The Killers
1,The Kinks
1,Marvin Gaye
1,Mac DeMarco
1,Mark Ronson
1,Blondie
1,Blossoms
1,Bombay Bicycle Club
1,Brockhampton
1,Charlie Puth
1,Charlotte Cardin
1,Chrome Sparks
1,Dan Auerbach
1,Dan Croll
1,Daniel Shake
1,Dean Martin
1,Death Cab for Cutie
1,Declan McKenna
1,Dire Straits
1,Dive Deep
1,Dusty Springfield
1,Elbow
1,Elli Ingram
1,Elton John
1,Elvis Presley
1,Everything Everything
1,Father John Misty
1,Fergie
1,Fleet Foxes
1,Blood Cultures
1,Bleachers
1,Mando Diao
1,Beyoncé
1, Arcade Fire
1, Broken Bells
1, Ellie Goulding
1, James Bay
1, Niia
1,A Tribe Called Quest
1,ANOHNI
1,Adele
1,Albin Lee Meldau
1,Alex Hahn
1,Alexander Biggs
1,Alexandra Savior
1,Alt-J
1,Alvvays
1,Amy Winehouse
1,Anderson .Paak
1,Arcade Fire
1,Aretha Franklin
1,Bad Sounds
1,Bastille
1,Beck
1,Bee Gees
1,Benjamin Clementine
1,Florence + The Machine
1,Foals
1,Foster The People
1,Francis and the Lights
1,Katy Perry
1,Kele Okereke
1,Kelis
1,Kendrick Lamar
1,Kings of Leon
1,Kraftwerk
1,LP
1,"Lafa Taylor, Aabo"
1,Lana Del Rey
1,Lenny Williams
1,Leon Russell
1,Leon Vynehall
1,Liam Gallagher
1,Little Richard
1,London Grammar
1,Lostboycrow
1,Lowland Hum
1,MS MR
1, Apollo Brown & Planet Asia
1,Macintosh Plus
1,Macklemore
1,Majid Jordan
1,Major Lazer
1,Kanye West
1,Kamasi Washingtom
1,Kaleo
1,JP Cooper
1,Frank Ocean
1,Franz Ferdinand
1,Glass Animals
1,Gregory Porter
1,Harrison Storm
1,Harry Styles
1,Hurts
1,Hus
1,Ibeyi
1,Ivan Dorn
1,Jack & Jack
1,Justin Timberlake
1,Jacob Sartorius
1,Jake Bugg
1,James Vincent McMorrow
1,Jamie Lawson
1,Jamiroquai
1,Jason Derulo
1,Jazmine Sullivan
1,Jean Michel Jarre
1,Julian Casablancas
1,Julie Byrne
1,Иван Дорн
